time,open,high,low,close,MA,Volume,Volume MA
1567058400,1.4871,1.4885,1.4814,1.4816,1.483744444444439,569,543.5
1567072800,1.4814,1.484,1.4804,1.4833,1.483877777777772,559,543.2
1567087200,1.483,1.4864,1.4828,1.4851,1.483977777777772,561,542.35
1567101600,1.4848,1.4866,1.4848,1.4852,1.484277777777772,474,537.85
1567116000,1.4856,1.4908,1.4842,1.4892,1.4849999999999943,547,538.45
1567130400,1.4889,1.4906,1.488,1.4884,1.485588888888883,548,540.35
1567144800,1.4882,1.4902,1.4867,1.4876,1.4859666666666609,558,541.95
1567159200,1.4875,1.4881,1.4842,1.4846,1.4857999999999942,530,540.6
1567173600,1.4843,1.4883,1.4833,1.4883,1.4859222222222164,562,540.65
1567188000,1.4881,1.4883,1.4834,1.4839,1.4861777777777718,435,534.3
1567375200,1.4865,1.4881,1.4845,1.4857,1.4864444444444385,561,534.45
1567389600,1.4854,1.4869,1.485,1.4864,1.486588888888883,524,537
1567404000,1.4861,1.4878,1.4852,1.487,1.486788888888883,545,537.55
1567418400,1.4868,1.4901,1.4866,1.4897,1.4868444444444384,530,536.05
1567432800,1.4892,1.4897,1.4857,1.489,1.486911111111105,481,533.2
1567447200,1.489,1.4891,1.4874,1.4884,1.4869999999999939,396,525.25
1567461600,1.4882,1.4923,1.4881,1.4917,1.487788888888883,539,524.6
1567476000,1.4915,1.4951,1.4876,1.4882,1.4877777777777719,564,528.15
1567490400,1.488,1.4887,1.4856,1.4873,1.4881555555555497,552,528.65
1567504800,1.4869,1.4875,1.4838,1.484,1.4879666666666607,555,529.5
1567519200,1.4839,1.4839,1.4787,1.4787,1.4871111111111053,548,528.45
1567533600,1.4786,1.4801,1.4781,1.4799,1.486322222222216,496,525.3
1567548000,1.4798,1.4801,1.4744,1.4745,1.4846333333333273,543,524.4
1567562400,1.4742,1.4767,1.4738,1.4761,1.4831999999999939,556,528.5
1567576800,1.4759,1.4766,1.472,1.4735,1.4815444444444386,567,529.5
1567591200,1.4732,1.4741,1.472,1.4735,1.4795222222222162,547,529.45
1567605600,1.4732,1.4736,1.47,1.4715,1.4776666666666607,558,529.45
1567620000,1.4713,1.4718,1.4701,1.4712,1.475877777777772,493,527.6
1567634400,1.4711,1.4715,1.4653,1.4663,1.4739111111111052,552,527.1
1567648800,1.466,1.4675,1.4648,1.4668,1.4725888888888832,559,533.3
1567663200,1.4667,1.4688,1.4665,1.4674,1.4711999999999943,569,533.7
